dataset,nb_scenarios,P_dropout_pairs,P_dropout_altruistic,rep,time,miprelstop_setting,opt_val,VSS,rel_VSS
30,100,0.075,0.075,5,114.86665153503418,0.05,694.1200000000026,131.7799999999993,0.159559268676594
30,100,0.075,0.075,6,13.16517210006714,0.05,744.6000000000024,147.66999999999825,0.1654992322951552
30,100,0.075,0.075,7,43.94038462638855,0.05,720.5500000000031,146.67999999999984,0.16913621530620404
30,100,0.075,0.075,8,4.8755950927734375,0.05,712.9099999999993,218.61999999999728,0.2346891672839287
30,100,0.075,0.075,9,18.70663547515869,0.05,715.8400000000039,177.33000000000084,0.19854003157293673
30,100,0.1,0.1,0,20.01839709281921,0.05,633.890000000001,217.83000000000192,0.2557530643873587
30,100,0.1,0.1,1,72.09648752212524,0.05,610.759999999999,198.93999999999744,0.24569593676670165
30,100,0.1,0.1,10,9.139500617980955,0.05,625.1199999999967,257.5299999999978,0.2917691044015175
30,100,0.1,0.1,11,33.67673873901367,0.05,656.1899999999974,148.1499999999944,0.18418827858865144
30,100,0.1,0.1,12,63.78036689758301,0.05,616.0000000000049,167.10000000000275,0.21338270974332924
30,100,0.1,0.1,13,63.648085594177246,0.05,654.5199999999985,202.27999999999795,0.23608776844070822
30,100,0.1,0.1,14,82.4259295463562,0.05,598.2699999999985,178.05999999999665,0.22936122525214503
30,100,0.1,0.1,15,53.264488697052,0.05,592.919999999998,183.40999999999804,0.23625262452822765
30,100,0.1,0.1,16,115.99669981002808,0.05,608.4400000000015,184.02999999999972,0.23222330182845966
30,100,0.1,0.1,17,53.98193430900574,0.05,631.2499999999969,163.14999999999537,0.20537512588116433
30,100,0.1,0.1,18,46.45128774642944,0.05,665.4699999999973,201.9099999999949,0.23278147985888162
30,100,0.1,0.1,19,36.06173777580261,0.05,642.5199999999969,222.82999999999527,0.25750274455422345
30,100,0.1,0.1,2,16.695939779281616,0.05,629.9899999999985,221.25999999999877,0.2599236417033768
30,100,0.1,0.1,20,19.65071153640747,0.05,649.3399999999991,176.49999999999767,0.2137217863024295
30,100,0.1,0.1,21,103.48988723754884,0.05,636.9900000000116,158.23000000000923,0.19897638389377165
30,100,0.1,0.1,22,46.56395745277405,0.05,656.909999999999,157.81999999999653,0.19370834509591817
